name,city,brewery_type,url,address,postal_code,state_province,phone,website_url,social_media,country,menu_url
Backroads Brewing – Osoyoos,Osoyoos,"['Bike Racks', 'Cider', 'Cocktails', 'Craft Sodas', 'Non Alc Beer Available', 'Patio', 'Videogames', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/backroads-brewing-co-osoyoss/,15 Park Place,V0H 1V0,BC,N/A,https://backroadsbrewing.com/,"['https://twitter.com/backroadsbrews', 'https://www.facebook.com/backroadsbrews', 'https://www.instagram.com/backroadsbrewing/', 'https://untappd.com/BackroadsBrewingCo']",Canada,N/A
Bad Dog Brewing,Sooke,"['Growler Fills', 'Merchandise', 'Snacks', 'Wheelchair Accessible']",https://bcaletrail.ca/breweries/bad-dog-brewing/,7861 Tugwell Rd,V9Z 0J7,BC,2506423621,http://www.baddogbrewing.ca,"['https://www.facebook.com/sookebaddogbrewing/', 'https://www.instagram.com/baddogbrewingco/']",Canada,N/A
Barkerville Brewing,Quesnel,"['Growler Fills', 'Merchandise', 'Snacks']",https://bcaletrail.ca/breweries/barkerville-brewing-co/,185 Davie St,V2J 2S8,BC,7784142739,https://barkervillebeer.com,"['https://twitter.com/BarkervilleBeer', 'https://www.facebook.com/BarkervilleBeer/', 'https://www.instagram.com/barkervillebeer/', 'https://untappd.com/BarkervilleBrewingCo']",Canada,https://barkervillebeer.com/#ourbeers
Barley Mill Brew Pub,Penticton,"['Bike Racks', 'Board Games', 'Brewpub', 'Cider', 'Cocktails', 'Dog Friendly Patio', 'GF Food Options', 'Growler Fills', 'Live Music', 'Merchandise', 'Non Alc Beer Available', 'Patio', 'Snacks', 'Spirits', 'Wine']",https://bcaletrail.ca/breweries/barley-mill-brew-pub-bistro/,2460 Skaha Lake Rd,V2A 6E9,BC,2504938000,http://barleymillpub.com,"['https://twitter.com/barleymillbrew', 'https://www.facebook.com/Barley.Mill.Pub.Penticton/', 'https://www.instagram.com/barleymillpubpenticton/', 'https://untappd.com/w/barley-mill-brew-pub-british-columbia/34072']",Canada,http://www.barleymillpub.com/menu/ales-a-lagers
Barley Station Brew Pub,Salmon Arm,"['Brewpub', 'GF Food Options', 'Growler Fills', 'Live Music', 'Merchandise']",https://bcaletrail.ca/breweries/barley-station-brew-pub/,20 Shuswap St S,V1E 1G1,BC,2508320999,http://barleystation.com,"['https://www.facebook.com/BarleyStationBrewPub/', 'https://www.instagram.com/barleystation/', 'https://untappd.com/w/barley-station-brew-pub-shuswap-lake-brewing-company/3035']",Canada,https://barleystation.com/beers/
Barn Owl Brewing,Kelowna,"['Cider', 'Growler Fills', 'Wine']",https://bcaletrail.ca/breweries/barn-owl-brewing/,#102 - 4629 Lakeshore Rd,V1W 1X3,BC,7787609349,https://www.barnowlbrewing.ca/,"['https://www.facebook.com/pages/category/Brewery/Barn-Owl-Brewing-Company-1198749453615387/', 'https://www.instagram.com/barnowlbrew/', 'https://untappd.com/Barn_Owl_Brewing']",Canada,https://www.barnowlbrewing.ca/barn-brews/
Barnside Brewing,Delta,"['Brewpub', 'Cider', 'Craft Sodas', 'GF Food Options', 'Growler Fills', 'Patio', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/barnside-brewing-co/,6655 60th Ave,V4K4E2,BC,7784342264,http://www.barnsidebrewing.ca,"['https://www.facebook.com/barnsidebrewing', 'http://www.instagram.com/barnsidebrewing', 'https://untappd.com/BarnsideBrewingCo']",Canada,https://barnsidebrewing.ca/our-beers/
Batch 44 Brewery & Kitchen,Sechelt,"['Brewpub', 'GF Food Options', 'Growler Fills', 'Wine']",https://bcaletrail.ca/breweries/batch-44-brewery-kitchen/,5559 Wharf Ave,V0N 3A0,BC,6047403805,https://www.batch44brewery.com/,"['https://www.facebook.com/pages/Batch-44-Brewery/102447004669676', 'https://www.instagram.com/batch44brewery/', 'https://untappd.com/w/batch-44-brewery/458038']",Canada,https://batch44brewery.com/takeoutmenu
Bayview Brewing Company,Ladysmith,"['Bike Racks', 'Brewpub', 'Cider', 'Craft Sodas', 'Dog Friendly Patio', 'GF Food Options', 'Gluten-Free Beer', 'Growler Fills', 'Guest Taps', 'Merchandise', 'Non Alc Beer Available', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/bayview-brewing-co/,204 Dogwood Drive,V9G 1S8,BC,2509120166,N/A,"['https://www.facebook.com/bayviewbrewingcompany/', 'https://www.instagram.com/bayviewbrewing/', 'http://www.untappd.com/bayviewbrewing']",Canada,N/A
Beach Fire Brewing,Campbell River,"['Brewpub', 'Cider', 'Craft Sodas', 'Growler Fills', 'Live Music', 'Merchandise', 'Wine']",https://bcaletrail.ca/breweries/beach-fire-brewing/,594 11 Ave,V9W 4G4,BC,2509143473,http://www.beachfirebrewing.ca/,"['https://twitter.com/beachfirebrew', 'https://www.facebook.com/beachfirebrewing/', 'https://www.instagram.com/beachfirebrewing/', 'https://untappd.com/BeachFireBrewingCo']",Canada,https://beachfirebrewing.ca/our-beer
Beacon Brewing,Sidney,"['Cider', 'Cocktails', 'Craft Sodas', 'Growler Fills', 'Live Music', 'Merchandise', 'Non Alc Beer Available', 'Snacks', 'Videogames', 'Wine']",https://bcaletrail.ca/breweries/beacon-brewing/,9829 Third Street,V8L 3A7,BC,N/A,http://www.beaconbrewing.ca/,"['https://www.facebook.com/BeaconBrewing.Sidney', 'https://www.instagram.com/beacon.brewing/']",Canada,N/A
Beard’s Brewing,Fort St. John,"['Food Truck(s)', 'Growler Fills', 'Merchandise']",https://bcaletrail.ca/breweries/beards-brewing/,10408 Alaska Rd North,N/A,BC,2502624104,https://www.beardsbrewing.ca/,"['https://twitter.com/beards_brewing', 'https://www.facebook.com/beardsbrewing/', 'https://www.instagram.com/beards.brewing/', 'https://untappd.com/w/beard-s-brewing-company/370489']",Canada,https://www.beardsbrewing.ca/
The Beer Farmers,Pemberton,"['Food Truck(s)', 'Growler Fills', 'Merchandise']",https://bcaletrail.ca/breweries/the-beer-farmers/,8324 Meadows Rd,V0N 2L2,BC,7788794033,https://www.thebeerfarmers.com/,"['https://www.facebook.com/thebeerfarmers/', 'https://www.instagram.com/thebeerfarmers/', 'https://untappd.com/w/the-beer-farmers/397530']",Canada,N/A
Beere Brewing,North Vancouver,"['Growler Fills', 'Merchandise', 'Snacks']",https://bcaletrail.ca/breweries/beere-brewing/,312 Esplanade E,N/A,BC,6049832163,https://www.beerebrewing.com/beerestore/,"['https://twitter.com/BeereBrewingCo', 'https://www.facebook.com/beerebrewing/', 'https://www.instagram.com/beerebrewingco/']",Canada,https://www.beerebrewing.com/our-beers
Beva Brewing & Blending,North Vancouver,"['Bike Racks', 'Brewpub', 'Cider', 'Cocktails', 'Dog Friendly Patio', 'Guest Taps', 'Non Alc Beer Available', 'Patio', 'Snacks', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/beva-brewing-blending/,1405 Pemberton Ave,V7P2R8,BC,N/A,https://www.bevabrewing.ca/,"['https://www.facebook.com/profile.php?id=100093881980814', 'https://www.instagram.com/bevabrewing/', 'https://untappd.com/BevaBrewingBlending']",Canada,N/A
Black Kettle Brewing,North Vancouver,"['Growler Fills', 'Merchandise', 'Snacks']",https://bcaletrail.ca/breweries/black-kettle-brewing/,720 Copping St #106,V7M 3G3,BC,6049879989,http://blackkettlebrewing.com,"['https://twitter.com/BlackKettleBeer', 'https://www.facebook.com/BlackKettleBrewing/', 'https://www.instagram.com/blackkettlebeer/', 'https://untappd.com/BlackKettleBrewingCompany']",Canada,http://www.blackkettlebrewing.com/beers
BNA Brewing Co.,Kelowna,"['Bike Racks', 'Board Games', 'Brewpub', 'Cider', 'Cocktails', 'Dog Friendly Patio', 'GF Food Options', 'Growler Fills', 'Merchandise', 'Non Alc Beer Available', 'Patio', 'Spirits', 'Videogames', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/bna-brewing-co/,1250 Ellis St,V1Y 1Z4,BC,2364200025,http://bnabrewing.com,"['https://twitter.com/BNABrewing', 'https://www.facebook.com/BNAbrewing/', 'https://www.instagram.com/bnabrewing/', 'https://untappd.com/BNABrewingCo']",Canada,http://www.bnabrewing.com/beer/
Bomber Brewing,Vancouver,"['Food Truck(s)', 'Growler Fills', 'Merchandise', 'Snacks']",https://bcaletrail.ca/breweries/bomber-brewing/,1488 Adanac St,V5L 2C3,BC,6044287457,https://bomberbrewing.com,"['https://twitter.com/bomberbrewing', 'https://www.facebook.com/bomberbrewing/', 'https://www.instagram.com/bomberbrewing/', 'https://untappd.com/BomberBrewingVan']",Canada,https://bomberbrewing.com/pages/taproom
Braggot Brewing,North Vancouver,[],https://bcaletrail.ca/breweries/braggot-brewing/,102 - 370 Esplanade East,V7L 1A4,BC,N/A,https://braggottery.com/,['https://www.instagram.com/braggotbrewing/'],Canada,https://braggottery.com/#our
Brassneck Brewery,Vancouver,"['Food Truck(s)', 'Growler Fills', 'Snacks']",https://bcaletrail.ca/breweries/brassneck-brewery/,2148 Main St,V5T 3C5,BC,6042597686,http://brassneck.ca,"['https://www.facebook.com/pages/Brassneck-Brewery/661469417210968', 'https://www.instagram.com/brassneckbrew/', 'https://untappd.com/w/brassneck-brewery/83539']",Canada,http://brassneck.ca/beer-archive/
BREWHALL,Vancouver,"['Brewpub', 'Cider', 'GF Food Options', 'Gluten-Free Beer', 'Merchandise', 'Videogames', 'Wine']",https://bcaletrail.ca/breweries/brewhall-beer-co/,97 East 2nd Ave,V5T 1B3,BC,6047098623,http://brewhall.com/,"['https://www.facebook.com/Brewhall/', 'https://www.instagram.com/brewhall/', 'https://untappd.com/BREWHALLBeerCo']",Canada,https://brewhall.com/menu/#drinksmenu
The BrewHouse (High Mountain Brewing),Whistler,"['Brewpub', 'Growler Fills']",https://bcaletrail.ca/breweries/brewhouse-at-whistler/,4355 Blackcomb Way,V0N 1B4,BC,6049052739,https://mjg.ca/brewhouse/,"['https://twitter.com/BREWHOUSEatWHIS', 'https://www.facebook.com/HMBC.Brewhouse', 'https://untappd.com/w/brewhouse-high-mountain-brewing-co/5023']",Canada,N/A
Brewing August,Vancouver,"['Food Truck(s)', 'Merchandise']",https://bcaletrail.ca/breweries/brewing-august/,1614 W. 3rd Ave,V6J 1K2,BC,N/A,https://www.brewingaugust.com/,"['https://www.facebook.com/photo.php?fbid=531170842344601&set=pb.100063550707101.-2207520000..&type=3', 'https://www.instagram.com/brewingaugust/']",Canada,N/A
Bridge Brewing Company,North Vancouver,"['Craft Sodas', 'Growler Fills', 'Merchandise', 'Snacks', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/bridge-brewing-company/,1448 Charlotte Rd,V7J 1H2,BC,6047702739,https://www.bridgebrewingstore.com/,"['https://twitter.com/bridgebrewcrew', 'https://www.facebook.com/BridgeBrewCrew/', 'https://www.instagram.com/bridgebrewcrew/', 'https://untappd.com/BridgeBrewingCompany']",Canada,https://www.bridgebrewing.com/year-round-beers
Bright Eye Brewing,Kamloops,"['Brewpub', 'Growler Fills', 'Merchandise']",https://bcaletrail.ca/breweries/bright-eye-brewing/,292 Tranquille Rd,V2B 3G3,BC,2503121702,https://www.brighteyebrewing.com,"['https://www.facebook.com/pg/brighteyebrewing', 'https://www.instagram.com/brighteyebrewing', 'https://untappd.com/BrightEyeBrewing']",Canada,https://www.brighteyebrewing.com/drink
Brookswood Brewing Co,Langley,[],https://bcaletrail.ca/breweries/brookswood-brewing-co/,#102 - 4061 200 Street,V3A 1K8,BC,N/A,https://www.brookswoodbrewing.com/,"['https://twitter.com/Brookswoodbrew', 'https://www.facebook.com/brookswoodbrewing', 'https://www.instagram.com/brookswoodbrewingco/', 'https://untappd.com/Brookswood_Brewing_Co']",Canada,https://www.brookswoodbrewing.com/beers
Buffalo Rouge Brewing,Kelowna,"['Bike Racks', 'Cider', 'Craft Sodas', 'Guest Taps', 'Patio', 'Snacks', 'Vegan Options', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/buffalo-rouge-brewing-company/,1111 Gordon Drive #105,V1Y 3E3,BC,7789400170,https://buffalorougebrewing.com/,"['https://www.facebook.com/profile.php?id=100087725526765', 'https://www.instagram.com/buffalo.rouge.brewing/']",Canada,N/A
Bulkley Valley Brewery,Smithers,"['Growler Fills', 'Live Music', 'Merchandise']",https://bcaletrail.ca/breweries/bulkley-valley-brewery/,3860 1st Ave,V0J 2N0,BC,2508470699,http://www.bulkleyvalleybrewery.com,"['http://fb.me/BulkleyValleyBrewery', 'https://www.instagram.com/bulkleyvalleybrewery/', 'https://untappd.com/BulkleyValleyBrewery']",Canada,https://www.bulkleyvalleybrewery.ca/beers/
Camp Beer Co.,Langley,"['Bike Racks', 'Board Games', 'Cider', 'Craft Sodas', 'Dog Friendly Patio', 'GF Food Options', 'Growler Fills', 'Live Music', 'Merchandise', 'Non Alc Beer Available', 'Snacks', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/camp-beer-co/,110 - 19664 64 Avenue,V2Y 1H3,BC,6044274287,http://www.campbeer.ca,"['https://twitter.com/campbeerco', 'https://faceboook.com/campbeerco', 'https://www.instagram.com/campbeerco/', 'https://untappd.com/campbeerco']",Canada,https://www.campbeer.ca/beers
Cannery Brewing,Penticton,"['Cider', 'GF Food Options', 'Growler Fills', 'Live Music', 'Merchandise', 'Wine']",https://bcaletrail.ca/breweries/cannery-brewing/,198 Ellis Street,V2A 4L5,BC,2504932723,http://cannerybrewing.com,"['https://twitter.com/cannerybrewing', 'https://www.facebook.com/CanneryBrewing/', 'https://www.instagram.com/cannerybrewing/', 'https://untappd.com/cannerybrewing']",Canada,https://www.cannerybrewing.com/beer
Canuck Empire Brewing Co,Abbotsford,"['Cider', 'GF Food Options', 'Growler Fills', 'Snacks', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/canuck-empire-brewing-co/,Unit C - 33797 King Road,V2S 7P2,BC,6047463616,https://canuckempirebrewing.com/,"['https://twitter.com/canuckempire', 'https://www.facebook.com/CanuckEmpire/', 'https://www.instagram.com/canuckempire/', 'https://untappd.com/CanuckEmpireBrewing']",Canada,N/A
Cask and Cleaver Brewing,100 Mile House,"['Bike Racks', 'Brewpub', 'Cider', 'Craft Sodas', 'GF Food Options', 'Growler Fills', 'Guest Taps', 'Non Alc Beer Available', 'Patio', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/cask-and-cleaver-brewing/,175 Cariboo Hwy,V0K 2E0,BC,7784825180,https://www.caskandcleaver.com/,"['https://www.facebook.com/caskandcleaverbrewing/', 'https://www.instagram.com/caskandcleaver/', 'https://untappd.com/Cask_And_Cleaver']",Canada,https://www.caskandcleaver.com/tasting-room
Category 12 Brewing,Victoria,"['Growler Fills', 'Merchandise', 'Vegan-Friendly Beer']",https://bcaletrail.ca/breweries/category-12-brewing/,2200 Unit C Keating Cross Rd,V8M 2A6,BC,2506529668,https://www.category12beer.com/,"['https://twitter.com/c12beer', 'https://www.facebook.com/C12beer/', 'https://www.instagram.com/c12beer/', 'https://untappd.com/Category12']",Canada,http://category12beer.com/
Central City Brewers & Distillers,Surrey,"['Cocktails', 'Dog Friendly Patio', 'Food Truck(s)', 'Merchandise', 'Patio', 'Spirits', 'Wheelchair Accessible']",https://bcaletrail.ca/breweries/central-city-brewers-distillers/,11411 Bridgeview Dr,V3R 2N1,BC,6045882337,http://centralcitybrewing.com,"['https://twitter.com/centralcitybrew', 'https://www.facebook.com/CentralCityBrewing/', 'https://www.instagram.com/centralcitybrew/', 'https://untappd.com/RedRacerBrew']",Canada,http://centralcitybrewing.com/products/
Coast Mountain Brewing,Whistler,"['Bike Racks', 'Cider', 'Craft Sodas', 'GF Food Options', 'Gluten-Free Beer', 'Growler Fills', 'Guest Taps', 'Live Music', 'Merchandise', 'Non Alc Beer Available', 'Outside food permitted', 'Patio', 'Snacks', 'Videogames', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/coast-mountain-brewing/,2 - 1212 Alpha Lake,V8E 0R5,BC,6049623230,https://www.coastmountainbrewing.com/,"['https://twitter.com/coastmtnbrewing', 'https://www.facebook.com/CoastMountainBrewing/', 'https://www.instagram.com/coastmountainbeer/', 'https://untappd.com/w/coast-mountain-brewing/294125']",Canada,https://www.coastmountainbrewing.com/beers/
Connector Brewing,West Kelowna,"['Board Games', 'Brewpub', 'Cider', 'Craft Sodas', 'GF Food Options', 'Gluten-Free Beer', 'Growler Fills', 'Guest Taps', 'Live Music', 'Merchandise', 'Non Alc Beer Available', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/connector-brewing/,101 - 3310 Carrington Rd,V4T 3C1,BC,N/A,https://connectorbrewing.com/,"['https://www.facebook.com/connectorbrewing', 'https://www.instagram.com/connectorbrewing/', 'https://untappd.com/ConnectorBrewing']",Canada,https://connectorbrewing.com/drinks
Container Brewing,Vancouver,"['Craft Sodas', 'Food Truck(s)', 'Live Music', 'Merchandise', 'Patio', 'Snacks', 'Wheelchair Accessible']",https://bcaletrail.ca/breweries/container-brewing/,1216 Franklin St,V6A 1K1,BC,7784040657,https://containerbrewing.ca/,"['https://twitter.com/containerbeer', 'https://www.facebook.com/containerbrewing', 'https://www.instagram.com/containerbrewing/', 'https://untappd.com/ContainerBrewing']",Canada,https://www.drinkcontainer.beer/shop
Copper Brewing,Kelowna,"['Cider', 'Cocktails', 'Growler Fills', 'Merchandise', 'Snacks', 'Videogames', 'Wine']",https://bcaletrail.ca/breweries/copper-brewing/,1851 Kirschner Rd #102,V1Y 4N7,BC,2507628850,https://copperbrewingco.com/,"['https://www.facebook.com/Copperbrewing/', 'https://www.instagram.com/copperbrewing/', 'https://untappd.com/w/copper-brewing-co/442327']",Canada,https://copperbrewingco.com/on-tap/
CowDog Brew Co,Vancouver,"['Bike Racks', 'Board Games', 'Cocktails', 'Craft Sodas', 'Growler Fills', 'Guest Taps', 'Merchandise', 'Patio', 'Snacks', 'Spirits', 'Wheelchair Accessible']",https://bcaletrail.ca/breweries/cowdog-brew-co/,1338 Franklin St,V5L 1N9,BC,N/A,https://cowdogbrewcompany.ca/,"['https://www.facebook.com/profile.php?id=61560883811004', 'https://www.instagram.com/cowdogbrewcompany/', 'https://untappd.com/Cowdog_Brew_Company_']",Canada,N/A
Craig Street Brewing,Duncan,"['Brewpub', 'Growler Fills']",https://bcaletrail.ca/breweries/craig-street-brew-pub/,25 Craig St,V9L 1V7,BC,2507372337,http://www.csbrewery.ca/craigstreetbrewpub,"['https://twitter.com/csbrewpub', 'https://www.facebook.com/craigstbrewpub', 'https://www.instagram.com/csbrewpub', 'https://untappd.com/w/craig-street-brewpub/5223']",Canada,N/A
Crannóg Ales,Sorrento,"['Growler Fills', 'Merchandise']",https://bcaletrail.ca/breweries/crannog-ales/,706 Elson Rd,V0E 2W1,BC,2506756847,http://crannogales.com,"['https://www.facebook.com/pages/Crannog-Ales/147130382004277/', 'https://www.instagram.com/crannogales/', 'https://untappd.com/w/crann-g-ales/4651']",Canada,N/A
CrossRoads Brewing & Distillery,Prince George,"['Bike Racks', 'Board Games', 'Brewpub', 'Cider', 'Cocktails', 'GF Food Options', 'Growler Fills', 'Guest Taps', 'Merchandise', 'Non Alc Beer Available', 'Patio', 'Spirits', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/crossroads-brewing/,508 George St,V2L 1R7,BC,2506142337,http://crossroadscraft.com,"['https://twitter.com/crossroadscraft', 'https://www.facebook.com/crossroadscraft/', 'https://www.instagram.com/crossroadscraft/', 'https://untappd.com/crossroads']",Canada,http://crossroadscraft.com/beer/
Cumberland Brewing Company,Cumberland,"['Bike Racks', 'Brewpub', 'Cider', 'Cocktails', 'Craft Sodas', 'Dog Friendly Patio', 'GF Food Options', 'Growler Fills', 'Non Alc Beer Available', 'Patio', 'Snacks', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/cumberland-brewing-co/,2732 Dunsmuir Ave,N/A,BC,2504002739,http://cumberlandbrewing.com,"['https://twitter.com/cumberlandbeer', 'https://www.facebook.com/cumberlandbrewingco/', 'https://www.instagram.com/cumberlandbrewingcompany/', 'https://untappd.com/w/cumberland-brewing-company/176608']",Canada,N/A
Dageraad Brewing,Burnaby,"['Bike Racks', 'Cider', 'Craft Sodas', 'Food Truck(s)', 'Growler Fills', 'Merchandise', 'Non Alc Beer Available', 'Patio', 'Snacks', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/dageraad-brewing/,3191 Thunderbird Crescent #114,V5A 3G1,BC,6044202050,https://dageraadbrewing.com/,"['https://twitter.com/DageraadBeer', 'https://www.facebook.com/DageraadBrewing/', 'https://www.instagram.com/dageraadbeer/', 'https://untappd.com/Dageraad']",Canada,https://dageraadbrewing.com/beers
Dead Frog Brewery,Langley,"['Brewpub', 'Cider', 'GF Food Options', 'Growler Fills', 'Live Music', 'Merchandise', 'Patio', 'Snacks', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/dead-frog-brewery/,#105  8860 201 Street,V2Y 0C8,BC,6048561055,https://deadfrog.ca/,"['https://twitter.com/deadfrogbrewery', 'https://www.facebook.com/deadfrogbrewery/', 'https://www.instagram.com/deadfrogbrewery/', 'https://untappd.com/deadfrog']",Canada,http://deadfrog.ca/brews
